Epoch,Train Loss,Train Accuracy
1,1.5885272318731525,26.7
2,1.479772844714319,40.8
3,1.2922147019894537,51.375
4,1.1722504446606437,59.15
5,1.0458271592676998,66.25
6,0.9534256661723474,71.475
7,0.8768625644866578,76.175
8,0.8217404913045689,79.375
9,0.7725771986795756,82.175
10,0.7225550020526269,84.8
11,0.685166272217642,86.475
12,0.6480161333512403,89.075
13,0.6249534869622327,90.4
14,0.5963864256878812,91.175
15,0.5870444069722456,91.875
16,0.5589102269289736,93.675
17,0.5416095365664202,94.425
18,0.5299261064229611,94.875
19,0.5136303924871776,95.8
20,0.506994647537163,96.05
21,0.5011675411355709,96.425
22,0.4925845649071082,96.8
23,0.4847163172539123,96.95
24,0.47798843726426543,97.4
25,0.47967118595888514,97.15
